date,open,high,low,close,volume,is_anomaly
2026-07-24,98.0,100.87,96.5,98.25,2064935,False
2026-07-23,102.39,102.83,98.7,99.36,1149534,False
2026-07-22,104.3,104.4,100.72,101.72,2703348,False
2026-07-21,107.89,109.48,104.0,104.9,2460175,False
2026-07-20,103.15,107.55,103.15,106.13,1828086,False
2026-07-17,110.0,110.98,106.5,107.49,1973156,False
2026-07-16,104.51,111.75,103.36,110.19,6408629,False
2026-07-15,104.49,106.75,103.11,104.13,2323772,False
2026-07-14,109.5,109.5,102.75,104.5,4565479,False
2026-07-13,110.02,111.9,109.0,110.77,1583673,False
2026-07-10,114.5,115.8,111.4,112.4,2074511,False
2026-07-09,111.1,116.4,111.1,114.23,2219239,False
2026-07-08,117.0,119.49,108.8,113.86,5122314,False
2026-07-07,120.71,121.0,117.6,118.34,1998425,False
2026-07-06,118.77,120.98,117.85,120.55,5013008,False
2026-07-03,119.01,120.0,118.01,118.77,1508316,False
2026-07-02,120.0,122.22,118.5,118.7,4346920,False
2026-07-01,121.51,122.0,118.66,119.63,2057120,False
2026-06-30,119.73,121.59,117.56,120.93,4114084,False
2026-06-29,124.0,124.0,118.05,118.6,3973910,False
2026-06-24,126.4,126.4,122.0,123.17,5949478,False
2026-06-23,124.5,127.85,124.5,125.66,10277631,False
2026-06-22,118.8,123.89,118.3,122.86,11474928,False
2026-06-19,114.0,122.3,113.5,116.84,22073722,False
2026-06-18,115.99,116.38,113.39,113.95,2847813,False
2026-06-17,114.99,118.88,114.3,115.16,10853153,False
2026-06-16,104.11,112.94,104.11,112.94,15280847,False
2026-06-15,102.4,102.99,100.72,102.67,1837345,False
2026-06-12,100.4,102.0,99.31,100.42,1341303,False
2026-06-11,99.0,99.6,98.61,99.09,1200791,False
2026-06-10,99.22,102.14,99.22,100.08,1189237,False
2026-06-09,98.87,101.4,98.52,100.96,2994902,False
2026-06-08,97.89,99.0,97.01,97.55,899452,False
2026-06-05,99.8,101.75,98.4,98.83,1521421,False
2026-06-04,98.91,99.87,98.85,99.61,612965,False
2026-06-03,98.36,99.5,98.01,99.18,1410566,False
2026-06-02,98.3,99.89,98.14,99.36,1160911,False
2026-06-01,101.85,101.85,97.5,98.17,1258864,False
2026-05-29,102.25,103.0,101.03,101.85,1584976,False
2026-05-25,102.49,102.75,100.7,102.04,1832112,False
2026-05-22,101.99,102.0,98.51,100.65,1418587,False
2026-05-21,100.5,102.9,100.05,101.32,3388469,False
2026-05-20,99.5,100.25,98.75,99.54,2458108,False
2026-05-19,97.97,99.48,97.5,99.23,3204891,False
2026-05-18,96.74,97.7,95.5,97.26,4047265,False
2026-05-15,96.8,97.65,95.68,96.75,2173926,False
2026-05-14,96.5,97.7,95.83,96.06,717442,False
2026-05-13,97.09,97.99,95.3,95.91,1049837,False
2026-05-12,98.9,99.4,96.51,97.09,1366721,False
2026-05-11,99.1,99.94,97.7,98.86,1995175,False
2026-05-08,100.01,101.5,98.8,99.63,2591493,False
2026-05-07,102.98,103.5,100.1,101.43,2971176,False
2026-05-06,99.15,103.4,98.4,102.15,7668989,False
2026-05-05,97.0,98.4,95.7,97.37,2728444,False
2026-05-04,97.11,100.9,97.0,97.59,5406453,False
2026-04-30,98.0,98.0,94.3,95.46,2461495,False
2026-04-29,98.56,101.0,97.5,99.28,6595671,False
2026-04-28,99.32,101.85,98.01,99.08,2229481,False
2026-04-27,101.1,102.8,99.52,100.92,1687005,False
2026-04-24,100.0,102.2,98.26,101.37,4554755,False
2026-04-23,103.06,103.95,100.0,100.61,1471434,False
2026-04-22,105.55,106.0,103.76,104.17,1101487,False
2026-04-21,106.5,107.46,104.12,105.55,3352220,False
2026-04-20,105.02,108.0,102.12,105.23,3489474,False
2026-04-17,105.79,108.0,104.81,107.26,4271575,False
2026-04-16,106.85,106.85,103.8,104.79,2970332,False
2026-04-15,103.05,108.74,103.05,105.05,9714811,False
2026-04-14,100.03,102.0,100.0,101.69,2961835,False
2026-04-13,95.25,99.85,95.25,99.03,5942879,False
2026-04-10,97.51,103.9,97.51,102.04,8009165,False
2026-04-09,96.9,99.98,94.5,98.03,5065172,False
2026-04-08,97.0,97.37,94.0,97.37,4287370,False
2026-04-07,88.15,89.34,87.19,88.52,2908583,False
2026-04-06,88.93,89.4,86.53,88.66,2554126,False
2026-04-03,86.89,90.01,86.36,88.17,1988416,False
2026-04-02,89.48,89.95,86.0,88.76,1197036,False
2026-04-01,90.0,94.5,90.0,91.79,7406565,False
2026-03-31,89.25,91.47,88.2,88.61,2051780,False
2026-03-30,90.0,91.2,83.2,89.24,8979922,False
2026-03-27,91.45,92.19,88.52,90.06,4931379,False
2026-03-26,93.9,93.9,89.0,90.35,1681996,False
2026-03-25,91.1,94.7,91.1,94.2,2665242,False
2026-03-24,95.17,95.49,89.6,90.7,1849050,False
2026-03-19,91.5,93.5,90.02,92.4,1464739,False
2026-03-18,92.0,94.44,91.01,92.68,1766052,False
2026-03-17,90.0,91.84,89.4,91.33,1754657,False
2026-03-16,92.3,92.8,88.0,89.29,1083830,False
2026-03-13,92.0,93.5,90.5,92.36,718695,False
2026-03-12,93.29,96.0,90.5,92.81,1186907,False
2026-03-11,94.11,98.49,92.5,93.29,1794615,False
2026-03-10,97.99,99.46,95.26,96.06,2517554,False
2026-03-09,86.3,94.5,86.3,90.42,9164102,False
2026-03-06,99.7,99.71,95.21,95.89,1817375,False
2026-03-05,92.5,100.9,92.5,99.73,3781069,False
2026-03-04,90.16,93.0,89.03,92.33,3958793,False
2026-03-03,90.0,92.4,85.59,90.15,3151664,False
2026-03-02,89.15,93.5,89.15,89.15,4817606,False
2026-02-27,97.0,101.48,93.53,99.05,1675040,False
2026-02-26,92.4,100.47,90.1,99.15,3440659,False
2026-02-25,95.1,96.99,90.76,91.5,1521243,False
2026-02-24,96.0,97.88,90.01,94.58,3573498,False
2026-02-23,102.0,103.5,94.5,95.77,1879857,False
2026-02-20,101.89,103.49,97.0,102.09,1749390,False
2026-02-19,106.9,107.25,98.98,100.26,2444314,False
2026-02-18,100.98,107.0,100.98,106.45,11385625,False
2026-02-17,98.0,101.79,94.6,99.97,14015257,False
2026-02-16,106.11,106.5,97.32,98.18,4348344,False
2026-02-13,110.05,110.5,106.9,107.37,2867532,False
2026-02-12,112.01,112.4,106.07,110.03,1039079,False
2026-02-11,112.24,112.79,111.51,111.98,355516,False
2026-02-10,113.87,113.87,111.6,112.24,710395,False
2026-02-09,111.52,113.64,110.38,112.14,1427089,False
2026-02-06,112.98,112.98,110.5,111.19,1407053,False
2026-02-04,112.62,113.24,111.5,112.04,2556756,False
2026-02-03,114.88,115.74,111.02,112.44,3541415,False
2026-02-02,115.75,116.29,113.71,114.38,1083835,False
2026-01-30,114.11,116.3,113.5,115.75,1823510,False
2026-01-29,116.47,116.47,112.7,114.1,1642876,False
2026-01-28,116.0,116.98,114.77,115.85,1673612,False
2026-01-27,117.0,117.48,115.18,115.53,1835705,False
2026-01-26,118.5,118.99,116.25,116.68,1272461,False
2026-01-23,119.7,119.95,117.9,118.05,817345,False
2026-01-22,119.2,121.0,118.95,119.14,1017400,False
2026-01-21,120.0,121.61,118.58,119.36,1937354,False
2026-01-20,120.0,121.1,119.4,119.99,1295921,False
2026-01-19,119.99,121.3,119.0,119.7,1679142,False
2026-01-16,117.99,120.75,117.9,119.73,2980801,False
2026-01-15,117.6,119.44,115.75,117.44,2468687,False
2026-01-14,120.5,121.55,117.0,117.41,1896016,False
2026-01-13,118.87,121.25,118.1,120.69,1590752,False
2026-01-12,122.4,122.5,118.5,118.87,2859366,False
